timestamp_rounded,connections_per_interval,censored_connections_per_interval,percentage_censored_connections_per_interval
2024-11-12 08:00:00+08:00,674693,82234,12.188358260720062
2024-11-12 09:00:00+08:00,675162,32764,4.852761263222752
2024-11-12 10:00:00+08:00,674147,20230,3.000829196006212
2024-11-12 11:00:00+08:00,674699,46962,6.960437172724429
2024-11-12 12:00:00+08:00,673879,134447,19.951207857790493
2024-11-12 13:00:00+08:00,675157,135864,20.12331946495408
2024-11-12 14:00:00+08:00,669025,42673,6.378386457905161
2024-11-12 15:00:00+08:00,655145,22629,3.4540445244945777
2024-11-12 16:00:00+08:00,663155,24103,3.6345952303760054
2024-11-12 17:00:00+08:00,675155,35390,5.241759299716361
2024-11-12 18:00:00+08:00,674158,58932,8.741570967043334
2024-11-12 19:00:00+08:00,674499,72469,10.744122674755634
2024-11-12 20:00:00+08:00,674147,45533,6.754164892820112
2024-11-12 21:00:00+08:00,675165,52655,7.798834359008539
2024-11-12 22:00:00+08:00,675090,55799,8.265416462990121
2024-11-12 23:00:00+08:00,673488,63986,9.500688950656878
2024-11-13 00:00:00+08:00,675016,152287,22.56050226957583
2024-11-13 01:00:00+08:00,674906,177516,26.302329509590965
2024-11-13 02:00:00+08:00,673938,333767,49.524882110817316
2024-11-13 03:00:00+08:00,675161,510531,75.61618636147527
2024-11-13 04:00:00+08:00,674161,481192,71.37642195261962
2024-11-13 05:00:00+08:00,675166,457630,67.78036808725558
2024-11-13 06:00:00+08:00,674682,285401,42.30155836379213
2024-11-13 07:00:00+08:00,674149,114467,16.97948079727182
2024-11-13 08:00:00+08:00,675168,49623,7.349726290345513
2024-11-13 09:00:00+08:00,673683,47365,7.030754820887569
2024-11-13 10:00:00+08:00,675153,37758,5.592510142145558
2024-11-13 11:00:00+08:00,675164,53527,7.927999715624648
2024-11-13 12:00:00+08:00,673698,153601,22.799681756514044
2024-11-13 13:00:00+08:00,675163,151944,22.504787732740095
2024-11-13 14:00:00+08:00,675102,31811,4.712028700848168
2024-11-13 15:00:00+08:00,674165,39489,5.857468127238881
