timestamp_rounded,connections_per_interval,censored_connections_per_interval,percentage_censored_connections_per_interval
2024-11-12 08:00:00+08:00,673941,81498,12.092749958824289
2024-11-12 09:00:00+08:00,675068,6018,0.891465748635693
2024-11-12 10:00:00+08:00,674032,11384,1.6889405844232916
2024-11-12 11:00:00+08:00,673090,12991,1.930053930380781
2024-11-12 12:00:00+08:00,673720,26516,3.9357596627679152
2024-11-12 13:00:00+08:00,673756,14820,2.1996093541282007
2024-11-12 14:00:00+08:00,663316,11551,1.7414022878989803
2024-11-12 15:00:00+08:00,653843,14169,2.1670339821639137
2024-11-12 16:00:00+08:00,668803,13639,2.0393150150343224
2024-11-12 17:00:00+08:00,673773,10475,1.5546779108097237
2024-11-12 18:00:00+08:00,673815,11011,1.6341280618567413
2024-11-12 19:00:00+08:00,673356,10655,1.582372474589964
2024-11-12 20:00:00+08:00,674713,14756,2.187003955756003
2024-11-12 21:00:00+08:00,673745,12547,1.8622772710743678
2024-11-12 22:00:00+08:00,673402,11382,1.6902236702593696
2024-11-12 23:00:00+08:00,673875,22421,3.327174921164904
2024-11-13 00:00:00+08:00,673705,142952,21.218782701627568
2024-11-13 01:00:00+08:00,674354,165179,24.494405015763235
2024-11-13 02:00:00+08:00,672679,139372,20.71894618384103
2024-11-13 03:00:00+08:00,673782,273321,40.56519764552927
2024-11-13 04:00:00+08:00,674780,340493,50.45985358190818
2024-11-13 05:00:00+08:00,673344,356079,52.88218206444254
2024-11-13 06:00:00+08:00,673833,272926,40.503507545638165
2024-11-13 07:00:00+08:00,673804,172728,25.63475432024743
2024-11-13 08:00:00+08:00,673307,75970,11.283114537647759
2024-11-13 09:00:00+08:00,673875,15119,2.243591170469301
2024-11-13 10:00:00+08:00,674849,7392,1.0953561463379216
2024-11-13 11:00:00+08:00,673377,9836,1.460697350815368
2024-11-13 12:00:00+08:00,673614,23557,3.497106651583845
2024-11-13 13:00:00+08:00,673813,17213,2.5545663262655958
2024-11-13 14:00:00+08:00,673812,8006,1.188165244905107
2024-11-13 15:00:00+08:00,673256,7385,1.0969081597490404
2024-11-13 16:00:00+08:00,674533,7234,1.0724456772315067
2024-11-13 17:00:00+08:00,673864,5493,0.8151496444386404
